avg_color,mass,brightness,contrast,motion
"[41.40982896454484, 41.81149509974892, 59.53740894551171]",2272232,47.050239407286355,76.17936084025004,0.187339186668396
"[41.7339237758091, 42.12438871422588, 59.82064414510923]",2272055,47.35912089445153,76.4203686503492,0.1811787486076355
"[41.457527004942584, 41.68141703702976, 59.50512539610566]",2273584,46.969808150310904,76.09938482827437,0.1275094747543335
"[41.45802338269295, 41.66889486507494, 59.46082228057232]",2274429,46.94928445621412,76.05121971236183,0.12449704110622406
"[41.32064071966682, 41.33555914431206, 59.28540848712529]",2276086,46.68545937051579,75.73864219430806,0.1669958531856537
"[41.395952185805974, 41.381768362862694, 59.289482583805025]",2276904,46.72243297343351,75.77680665650301,0.1609395444393158
"[41.3126043202925, 41.197967529296875, 59.186854148397686]",2277777,46.57438005719866,75.62244735535279,0.1211557388305664
"[41.42287336077009, 41.35875966597581, 59.25170026506692]",2277889,46.70096074318399,75.77571592129254,0.11916405707597733
"[41.38340665856183, 41.06259933783084, 59.17631561902103]",2279482,46.499847723513234,75.53963269455227,0.16624557971954346
"[41.55160989566728, 41.13809702347738, 59.27203680544488]",2279985,46.59250345035475,75.64824793996071,0.15517699718475342
"[41.335702390086944, 40.80678511639029, 59.02977114307636]",2282657,46.30054333745217,75.30883136420361,0.16023868322372437
"[41.364683190170446, 40.84714181082587, 58.986404418945256]",2283828,46.31466768225845,75.32009442132015,0.1644407957792282
"[41.3352125518176, 40.65426012934473, 58.93574804189257]",2284884,46.18323688117825,75.18771740024614,0.11487359553575516
"[41.50001712721216, 40.79013902313853, 59.055978268993194]",2285108,46.317897251674104,75.35299159172554,0.11310940235853195
"[41.35358319963725, 40.52563601124041, 58.89702466069427]",2287195,46.097586806939574,75.11072573880551,0.16858677566051483
"[41.43962782256458, 40.62454971002069, 58.93964027871891]",2288180,46.17833974410077,75.20922323113072,0.16570594906806946
"[41.411392523317936, 40.40650099150988, 58.904314936423745]",2289650,46.03645760672433,75.0687400203198,0.12011750042438507
"[41.587738971320896, 40.52180231833949, 59.052403041294625]",2290070,46.16883258430325,75.22346507994477,0.11523104459047318
"[41.38218751245609, 40.20260308713323, 58.84833760164215]",2293048,45.896818511340086,74.92816039505732,0.16908593475818634
"[41.398459298270105, 40.242377456353644, 58.834425322863524]",2294646,45.91844114965322,74.95565232157793,0.1690792739391327
"[41.31687802684555, 39.975214744100775, 58.770360207071064]",2296523,45.73248415577169,74.76721052594131,0.16087450087070465
"[41.44294987892618, 40.077697753906286, 58.87697243203927]",2297107,45.838980538504465,74.90697360854959,0.158280611038208
"[41.32428321059872, 39.89443097795764, 58.77706410933512]",2298691,45.687613662408324,74.76380774465652,0.11469147354364395
"[41.4036092952806, 40.06090498943717, 58.8576734893176]",2299052,45.81798070790816,74.92981444651261,0.11625576764345169
"[41.263799861985774, 39.72932807766658, 58.727709089006574]",2301647,45.568019321986604,74.66845217713595,0.17524859309196472
"[41.30990258041699, 39.777412570252686, 58.77088928222653]",2303198,45.614360575773276,74.74022115004978,0.16897207498550415
"[41.17805916922434, 39.54642533282844, 58.64964014170132]",2304689,45.42729591836735,74.54738268017375,0.11708839237689972
"[41.22537169164535, 39.648322903380134, 58.689040203483785]",2305470,45.504413215481506,74.64712515018891,0.11933362483978271
"[41.20169814752072, 39.42584539919487, 58.67999485560821]",2306570,45.36866293148119,74.52067698756545,0.1710120439529419
"[41.34923382194678, 39.55557095274634, 58.8112416170082]",2307007,45.50095383001833,74.6993163118228,0.169982448220253
"[41.160785285794, 39.31118867835216, 58.64965508908644]",2308882,45.287806608239,74.470411233137,0.13003970682621002
"[41.179172126614375, 39.395328443877624, 58.65328543526794]",2309650,45.34035382952009,74.5381991402059,0.1291125863790512
"[41.07726241131222, 39.11677395567601, 58.57927999691078]",2311879,45.14327099858498,74.32790912876743,0.17043344676494598
"[41.17334295778859, 39.19357362085456, 58.67174452178341]",2312589,45.22711306202169,74.43707256108154,0.17056244611740112
"[41.091785353057226, 38.98672360790016, 58.63846136599164]",2314112,45.086278798628825,74.29894619409734,0.16783657670021057
"[41.19828329280933, 39.137931668028514, 58.76324805434872]",2314157,45.224744835678415,74.46975363473868,0.16536559164524078
"[41.090082596759366, 38.87419346400667, 58.6913875657685]",2315473,45.03601105359136,74.26129122550073,0.12138818204402924
"[41.16246530961016, 38.96358848104671, 58.76734550631782]",2315492,45.12012652961575,74.35466009162892,0.11778488755226135
"[40.94709653270495, 38.697461809430926, 58.6017923160475]",2317203,44.88914302903779,74.10062268128715,0.16831861436367035
"[40.9647624735929, 38.78131134656008, 58.624897859534414]",2318022,44.94751973054847,74.17615605193384,0.1753113567829132
"[40.854900749362216, 38.520001781230015, 58.57469675492272]",2319149,44.766758510044646,73.9808921617467,0.12921619415283203
"[40.912191585618686, 38.609623188875176, 58.66823437749128]",2319080,44.854406551438935,74.09001398494091,0.1277279108762741
"[40.778843782385984, 38.406545833665504, 58.60285233478155]",2320291,44.70007511061065,73.94065525228584,0.18107318878173828
"[40.855938035614635, 38.56524066535793, 58.719795694156645]",2320567,44.836993781887756,74.12578101444275,0.18320895731449127
